,zero_rate
is_arp,1.0
is_icmp,1.0
is_telnet,1.0
is_smtp,1.0
urg_flag,1.0
is_ssh,0.9985677963775728
is_dhcp,0.992876408811795
ece_flag,0.9904162123453956
cwe_flag,0.9902914559322922
is_irc,0.9478418388097241
is_dns,0.9192177273872764
is_http,0.9138656772651398
rst_flag,0.8312220389689132
active_std,0.7761071507880862
is_https,0.7535811328381335
fin_flag,0.7295206110070088
syn_flag,0.7035513160554018
idle_std,0.6993345492925064
active_mean,0.652239003345967
is_udp,0.6449507336924655
pkt_len_min,0.6225469770273541
psh_flag,0.5668207824223204
idle_mean,0.5518550031064346
ack_flag,0.43267769679700385
is_tcp,0.38994862530908403
pkt_len_std,0.3159206649017793
pkt_len_var,0.3159206649017793
bwd_header_len,0.26677412352381974
bwd_rate,0.2570855404822085
bwd_pkts_tot,0.25686097893862236
pkt_len_mean,0.17175714417599636
pkt_len_max,0.17175714417599636
header_length,0.034899359001549474
fwd_header_len,0.034899359001549474
flow_rate,0.0033359864863853326
flow_duration,0.0033359864863853326
flow_iat_mean,0.0033359864863853326
fwd_rate,0.0033359864863853326
fwd_pkts_tot,0.0
is_ipv4,0.0
